                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                 1.0875,                0.90616,                 1.2983,                0.76608,                0.75275,                0.79429,                 0.5204,                 1.2431,                0.93572,                  1.496,              0.0015545,              0.0015545,              0.0015545
                     47,                 1.0971,                0.91239,                  1.317,                0.76053,                0.75177,                0.80017,                0.52499,                 1.2442,                 0.9322,                 1.5116,              0.0015446,              0.0015446,              0.0015446
                     48,                 1.1138,                0.91543,                 1.3134,                0.78768,                0.72899,                0.78896,                0.51693,                 1.2489,                0.93099,                 1.5059,              0.0015347,              0.0015347,              0.0015347
                     49,                 1.0739,                0.89384,                 1.2917,                0.78531,                0.74351,                0.80696,                0.53565,                 1.2134,                0.91652,                  1.479,              0.0015248,              0.0015248,              0.0015248
                     50,                 1.0798,                0.89209,                 1.2921,                0.76199,                0.76331,                0.80321,                0.53358,                 1.2249,                0.91348,                 1.4893,              0.0015149,              0.0015149,              0.0015149
                     51,                 1.0782,                 0.8738,                  1.285,                  0.762,                0.77983,                0.80312,                 0.5285,                 1.2392,                0.89114,                 1.4852,               0.001505,               0.001505,               0.001505
                     52,                 1.0748,                  0.882,                 1.2879,                0.77957,                0.74528,                0.80242,                0.53448,                 1.2278,                0.91712,                 1.4601,              0.0014951,              0.0014951,              0.0014951
                     53,                 1.0747,                0.87551,                 1.2892,                0.71748,                0.81304,                0.80199,                0.52809,                 1.2164,                0.91505,                 1.4645,              0.0014852,              0.0014852,              0.0014852
                     54,                 1.0469,                0.93984,                 1.2612,                0.77281,                  0.747,                0.80876,                0.53672,                 1.2276,                 0.8968,                 1.4842,              0.0014753,              0.0014753,              0.0014753
                     55,                 1.0552,                0.86458,                 1.2823,                 0.7773,                0.74236,                0.79021,                0.52164,                 1.2395,                0.92988,                 1.4871,              0.0014654,              0.0014654,              0.0014654
                     56,                  1.059,                0.85385,                 1.2712,                0.73747,                0.77101,                0.80053,                0.52396,                  1.246,                0.91246,                 1.4696,              0.0014555,              0.0014555,              0.0014555
                     57,                 1.0666,                0.85797,                  1.279,                0.76798,                0.76844,                0.80287,                 0.5374,                  1.238,                0.88766,                  1.475,              0.0014456,              0.0014456,              0.0014456
                     58,                 1.0697,                0.86221,                 1.2937,                0.80159,                0.76244,                0.82368,                0.54045,                 1.2577,                0.90044,                 1.4958,              0.0014357,              0.0014357,              0.0014357
